_id,channelId,description.eng,description.original,dislikeCount,duration,encounter.dates,encounter.locationIDs,fileDetails,likeCount,newLocation,publishedAt,recordingDetails.date,recordingDetails.location,regionRestriction,relevant,tags.eng,tags.original,title.eng,title.original,uploadedAt,url,user_country,videoID,viewCount,wild
8eF3T9nm9KU,,null,"I was on a 5 day kayaking expedition in the Discovery Islands with Wildcoast Adventures in August 2016 when we were lucky enough to come across three humpback whales. We were sitting the required 100 meters back watching them rest but then they dove and ended up breaching much closer to us. It was an incredible and unexpected experience. 
Tail and breaching happen up until 0.28. Some spouts at the end of the video.

Jukin Media Verified (Original)
* For licensing / permission to use: Contact - Licensing Team at 
licensing@jukinmedia.com",20,null,[],[],null,131,0,2016-08-18T00:06:24.000Z,null,null,null,true,[],"[""humpback whales"",""humpback"",""kayaking"",""humpback breach"",""Wildcoast"",""BC"",""humpbacks"",""breach"",""breaching"",""breaches"",""whales"",""dolphin"",""dolphins"",""kayak"",""kayak trip"",""canoe trip"",""BC kayak"",""BC kayaking"",""surprise""]",null,Humpback whales breach near BC kayakers,null,https://youtu.be/8eF3T9nm9KU,,8eF3T9nm9KU,40333,true
eTlajj5qDoY,,null,"ID: 1548040

Mike Korostelev, 35, from Moscow was on a photography journey in Tonga in September 2018 was lucky enough to photograph the beautiful humpback whales on their annual birthing journey from Antarctica.

From the months of July through to October, the humpbacks spend their time in the heated waters before making the journey back to the Arctic waters.

Speaking of the magical scene, Korostelev, said “As you see in the pics from the copter sometimes the mums have an escort – adult male whale. He is guarding the mum and kid and waiting when she gets free again to be able to copulate again

“The whales behave differently with humans – but never aggressive. Sometimes they just don’t notice you. The baby whales are very curious and try to play with you.

**Please contact licensing@catersnews.com for media / licensing / broadcast usage**

SUBMIT A VIDEO: https://bit.ly/2HWQ0mD

Connect with Caters:

Twitter: https://twitter.com/Caters_News
Facebook: https://www.facebook.com/CatersTV
Website: https://www.catersnews.com
Instagram: https://www.instagram.com/caters_news/

Company Information:

Caters Clips is owned and operated by Caters News Agency Ltd, an international multimedia content provider. We supply news, picture, video and feature stories to the world’s largest media publishers.

All videos aired on this channel have been licensed from their rightful owners.",2,null,[],[],null,43,,2018-10-02T07:00:06.000Z,null,null,null,true,[],"[""caterstv"",""catersnewsagency"",""viral"",""clips"",""amazing"",""incredible"",""Moscow"",""diver"",""diving"",""dive"",""swim"",""swimming"",""swimmer"",""humpback"",""whale"",""Arctic"",""water"",""waters"",""sea"",""ocean"",""whales"",""animals"",""prey"",""predator"",""encounter"",""close"",""close up"",""beautiful"",""Tonga"",""island"",""coast""]",null,Incredible Moment Humpback Whale High Fives Diver,null,https://youtu.be/eTlajj5qDoY,,eTlajj5qDoY,24064,false
Hxj-iHHAa24,UC5LruXgf4aYGw2d78-tvqpw,null,"https://www.chriswhalewatching.com/
We offer full service guided Family Friendly Fishing & Whale Watching tours year around in the third largest deep submarine canyon in the world. Our skippers are known for their ability to find Gray whales, Killer whales, dolphins, turtles, porpoises and more!
http://www.chriswhalewatching.com
http://www.chrissfishing.com
http://www.facebook.com/chrisfishinga...
http://twitter.com/ChrisFandWW
http://pinterest.com/chrisfandww
http://instagram.com/chrisfishingandwhalewatching",0,null,[],[],null,9,0,2019-07-30T20:38:17.000Z,null,null,null,true,[],"[""Monterey"",""Whale Watching"",""Marine Life"",""Lunge feeding"",""Humpvack WHales""]",null,7.30.19 Lunge feeding Humpback Whales,null,https://youtu.be/Hxj-iHHAa24,0,Hxj-iHHAa24,470,true
H3qAaxdjATE,,null,"Watch More Wild Animal Videos: https://www.youtube.com/watch?v=YdKN4m19tSA&list=PLtMSwy96r2CYRKqo4mPWJ--6HhCihQDj6

""Survival of the fittest"" is a phrase that rules the animal kingdom, meaning that even a creature as majestic as a baby humpback whale is prey for a stronger species. This video, captured at the Revillagigedo Islands off the western coast of Mexico, shows a young whale struggling against an attempt to force it underwater!

Subscribe to Storyful for the latest viral videos online! 
https://www.youtube.com/user/storyful?sub_confirmation=1&src_vid=rNVV4yiDel4

Original Video: https://www.youtube.com/watch?v=EWYxDGFifho
To use this video in a commercial player or in broadcasts, please email licensing@storyful.com.

Storyful is a news agency that supplies verified UGC to news clients and manages rights for UGC video on YouTube and across the Web.

Twitter: https://twitter.com/storyful
Facebook: https://www.facebook.com/storyful",51,null,[],[],null,26,0,2015-02-19T00:43:40.000Z,null,null,null,true,[],"[""News"",""UGC"",""Viral"",""Breaking"",""funny"",""weather"",""animals"",""storm"",""scary"",""popular"",""news"",""hilarious"",""best"",""worlds best"",""worlds biggest"",""fastest"",""wild"",""insane"",""bored"",""Humpback Whale (Organism Classification)"",""humpback"",""Whale (Animal)"",""Killer Whale (Organism Classification)"",""orca"",""baby"",""taken"",""drowned"",""killed"",""wild animal"",""sea"",""ocean"",""sad"",""crazy""]",null,Baby Orca &quot;Taken&quot; By Humpback Whales,null,https://youtu.be/H3qAaxdjATE,,H3qAaxdjATE,18757,true
4qx_In8Ny2s,,null,UH Marine Mammal Research captures rare video of newborn humpback whale in the waters of Maui.,null,null,[],[],null,null,0,2019-02-03T17:11:40.000Z,null,null,null,true,[],"[""maui"",""humback whales"",""maui whale watching"",""hawaii"",""newborn humpback whale calf"",""humpback whale giving birth""]",null,Humpback Whale Birth,null,https://youtu.be/4qx_In8Ny2s,,4qx_In8Ny2s,402,true
Dz817OfdCWY,,null,"To use this video in a commercial player or broadcast, contact licensing@storyful.com

Credit: Monterey Bay Whale Watch/Gowhales.com via Storyful
Original video: https:/www.facebook.com/video.php?v=1579988572098872",6,null,[],[],null,41,0,2018-05-31T00:26:01.000Z,null,null,null,true,[],"[""storyful"",""news"",""viral"",""Monterey Bay"",""California"",""Dolphins"",""Humpback Whale""]",null,Dolphins Ride on Humpback Whales in Monterey Bay,null,https://youtu.be/Dz817OfdCWY,,Dz817OfdCWY,27722,true
bAQ3L_A3TxM,,null,"Whale season in Hawaii. Humpback whales and their calves playing and breaching. Lani Kai snorkeling and SNUBA adventures also does whale watching when the whales are visiting, usually mid-November to mid-April. Daily trips to Molokini, Turtle Town and Coral Gardens. www.MauiSnorkeling.com",0,null,[],[],null,4,0,2015-12-03T21:54:29.000Z,null,null,null,true,[],"[""Maui (Geographical Feature)"",""humpback whales"",""breaching"",""Molokini"",""SNUBA diving"",""Snorkeling"",""Lani Kai"",""Friendly Charters"",""Humpback Whale (Organism Classification)"",""Whale (Animal)"",""Diving (Sport)"",""Cetacean Surfacing Behaviour"",""Tourist Destination""]",null,Maui Humpback Whales Breaching,null,https://youtu.be/bAQ3L_A3TxM,,bAQ3L_A3TxM,4978,true
yCqxJfuthls,,null,"Incredible Drone And Underwater Footage Of Humpback Whales
SUBSCRIBE: http://bit.ly/Oc61Hj 
We upload a new incredible video every weekday. Subscribe to our YouTube channel so you don't miss out:


A British diver used a flying drone to capture incredible footage of humpback whales and their calves swimming off the coast of Tonga, in September 2014. The aerial camera shows a protective whale mother and her adorable calf as well as bull males chasing a female in an ocean mating ritual. Darren Rice, 47, moved from Crawley, West Sussex, five-years-ago to run a dive resort on the island of Foa in the Ha'apai region of the Kingdom of Tonga. The former underwater camera operator shot the footage during five hours over two days and flew the drone from a small boat driven by his wife Nina. 

Videographer / Director: Darren Rice
Producer: Amanda Stringfellow
Editor: Sonia Estal

For more compelling footage of the amazing side of life:

FACEBOOK: Like Barcroft TV - 
http://goo.gl/7ayYgY

TWITTER: Follow @Barcroft_TV - 
http://bit.ly/10vFLY9

WEBSITE: For licensing & business enquiries, 
visit the Barcroft Media site -
http://bit.ly/19OYwp",17,null,[],[],null,617,0,2014-10-20T11:09:55.000Z,null,null,null,true,[],"[""whale"",""whales"",""humpback"",""humpback whale"",""humpback whales"",""drone"",""underwater camera"",""drone footage"",""whales swimming"",""beach"",""beaches"",""pod of whales"",""whale pods"",""humpback whale encounter"",""whale encounter"",""whale close up"",""mammals"",""whale calf"",""small"",""adorable calf"",""adorable"",""cute"",""darren rice"",""tonga"",""kingdom of tonga"",""barcroft"",""barcroft tv"",""barcroft animals"",""barcroft nature"",""barcroft media"",""BDV1795""]",null,Incredible Drone And Underwater Footage Of Humpback Whales,null,https://youtu.be/yCqxJfuthls,,yCqxJfuthls,78992,true
PYtbutOrVXk,,null,"While paddling on his kayak on Half Moon Bay, this fisherman got a once in a lifetime experience with mother nature and a close encounter with a few wild animals. Two humpback whales breached to feed and bumped into his boat while he filmed the whole thing on his GoPro.
Original Link: https://www.youtube.com/watch?v=4B6PKrI4mps 

SUBSCRIBE for awesome videos every day!: http://bit.ly/JukinVideo
Submit your video here: http://bit.ly/3-submit-here

LIKE us on FACEBOOK: http://bit.ly/JukinVideoFB
FOLLOW us on TWITTER: http://bit.ly/JukinVideoTwitter
Short vids on INSTAGRAM: http://bit.ly/JukinVideoInstagram
Shorter vids on VINE:  http://bit.ly/JukinVideoVine

WHAT TO WATCH NEXT:
Wild Boar Encounter: https://www.youtube.com/watch?v=rusvKJ2mVoM&index=1&list=PLz9JxPpKRG-SI-rXIJBLGA0eVz9U7BpMh
Pokemon Go Stampede: https://www.youtube.com/watch?v=S9LZZugYUmg&index=5&list=PLz9JxPpKRG-SI-rXIJBLGA0eVz9U7BpMh

JukinVideo is the leading viral video community channel dedicated to showcasing the hottest UGC videos from across the web. We love videos and find the best ones to share with you here, from fail videos to ice bucket challenges, and soccer tricks to a baby reacting to Katy Perry's Dark Horse.  The JukinVideo team scours the web 24/7 to find the latest trends and hottest videos.  Subscribe to see them first!

To license any of the videos shown on JukinVideo, visit Jukin Media at http://jukinmedia.com/licensing",37,null,[],[],null,1520,0,2016-07-26T10:00:01.000Z,null,null,null,true,[],"[""jukinvideo"",""jukinvideodotcom"",""jukinmedia"",""trending"",""viral"",""viral video"",""youtube"",""hot"",""video"",""fisherman close encounter with humpback whales"",""kayaker close encounter with humpback whales"",""humpback whales swim close to kayaker"",""humpback whales breach close to fisherman"",""humpback whales breach near kayak"",""humpback whales kayak"",""humpback whales breach"",""kayaker sees humpback whales"",""humpback whale spotting"",""humpback whales half moon bay"",""humpback whale"",""humpback whales"",""whales""]",null,Fisherman Has Close Encounter With Humpback Whales,null,https://youtu.be/PYtbutOrVXk,,PYtbutOrVXk,98975,true
USlfNF-jgcU,,null,"Filmed by Hans Klett
""Meanwhile in Hawaii""
https://vimeo.com/152942241
Music by The Sagittarian - ""Illumination"" (https://open.spotify.com/track/1VRPnS2IO9RqqjXloiRGdU)",2,null,[],[],null,24,0,2016-01-25T23:43:32.000Z,null,null,null,true,[],"[""humpback"",""humpbacks"",""drone"",""footage"",""aerial"",""breach"",""best"",""amazing"",""4k"",""jump"",""whale"",""whales"",""hawaii"",""island"",""water"",""blue"",""stock"",""video"",""phantom"",""dji"",""gopro"",""paradise"",""tropical"",""beach"",""ocean"",""sea"",""maui"",""dolphins"",""tangaroa"",""surf"",""beautiful"",""breaching"",""feeding"",""singing"",""sounds"",""documentary""]",null,Humpback Whales Jumping (Amazing Drone Footage),null,https://youtu.be/USlfNF-jgcU,,USlfNF-jgcU,7651,true
MW0BM9hIGFU,,null,"This whale approached our small zodiac with great curiosity and swam around and under the boat, popping up every now and then to see our adoring faces!",7,null,[],[],null,340,0,2013-02-21T22:57:51.000Z,null,null,null,true,[],"[""Gloria"",""Humpback"",""whale"",""Antarctica""]",null,My VERY CLOSE encounter with &quot;Gloria&quot; the humpback whale,null,https://youtu.be/MW0BM9hIGFU,,MW0BM9hIGFU,30996,true
0EuMbD4zecQ,,null,"In recent years big shoals of herring were gathering in Norwegian Fjords from November until January. Following them are Orcas and Humpback whales, who are hunting together for herring with their individual ""special techniques"".
Orcas are performing ""killer loops"" or „carousel feeding“ in which they swim fast into the shoal of herring, turn around their own axis and beat the fish with their tail. 
The paralyzed fish then float in the water and are easy to pick up by the Killer whales or birds. The Humpback whales dive under the herring and taking a huge gulp while ascending. 

This 4k + footage was shot around Vengsoya / Norway with drones and Underwater and is featured in the new BBC Blue Planet 2 series.

Please subscribe, if you like it!

Music: :  'Kreis' by James Richardson(kingjamesroyaltyfreemusic

Cameras: Panasonic GH4, DJI Phantom 4, Gopro 4, Red Epic (Underwater)

For licensing contact: mail@visualmondo.com",1,null,[],[],null,75,0,2017-11-18T14:21:08.000Z,null,null,null,true,[],"[""Orca"",""humpback whale"",""killer whale"",""herring"",""fish"",""whales"",""dolphins"",""norway"",""polar"",""polar circle"",""arctic"",""nature"",""wildlife"",""feeding"",""killer loop"",""carousel feeding"",""bubblenet feeding"",""boat"",""mountains"",""bird"",""seagull"",""fishing"",""snow"",""cold"",""underwater"",""scuba diving"",""footage"",""aerial"",""aerial view"",""drone footage""]",null,"The Feast, Orcas and Humpback whales hunting herring in Norway",null,https://youtu.be/0EuMbD4zecQ,,0EuMbD4zecQ,3927,true
z532StqPiB4,,null,"12 miles off the coast of Ecuador, 6 scuba divers encounter a baby humpback whale hopelessly tangled in an abandoned fishing net.

Armed with just a few pairs of scissors we jumped in to do what we could to help....  (while hoping the it's agitated mother would not misunderstand our intent)",9,null,[],[],null,138,0,2011-09-20T11:23:35.000Z,null,null,null,true,[],"[""+Whales"",""+rescue"",""+baby"",""+ecuador"",""+exploramar"",""+scuba"",""+fishing"",""net"",""+humpback""]",null,Baby Humpback Whale Rescue,null,https://youtu.be/z532StqPiB4,,z532StqPiB4,9291,true
CFOCC5XpTT0,,null,"This drone footage was captured on March 5th 2019 off the coast of San Diego, California. This was the first time I have ever seen a humpback whale feeding aggregation in San Diego waters. The vast majority of our humpback whale sightings involve whales that are merely passing through. While we do see whales occasionally grab a snack if it's available, to see as many as twenty whales lunge feeding on the surface is simply something we do not see virtually ever in San Diego!

Please Like, Subscribe, and Share for more whale content!

Phone Cases at WhaleCases.com",0,null,[],[],null,22,0,2019-03-07T04:23:00.000Z,null,null,null,true,[],"[""drone"",""drone footage"",""whales"",""humpback whales"",""humpback"",""dji"",""dji phantom"",""dji phantom 4 professional"",""lunge feeding"",""feeding"",""san diego"",""california"",""whale watching""]",null,"Drone Footage of Humpback Whales Feeding and Foraging in San Diego, California",null,https://youtu.be/CFOCC5XpTT0,,CFOCC5XpTT0,548,true
tIwcaihmF5o,,null,"Whales charging Sanctuary whale watching boat, near Moss Landing (Monterey Bay) California April 11 2015.

Just before hitting the boat, they dove underneath the boat. We could feel the whales hitting the bottom of the boat.",23,null,[],[],null,40,0,2015-04-12T19:19:57.000Z,null,null,null,true,[],"[""Whale watching"",""humpback whales"",""whale charging boat"",""Santcuary Cruises."",""whale attack""]",null,"humpback whale attack, whales charging boat",null,https://youtu.be/tIwcaihmF5o,,tIwcaihmF5o,17674,true
NIi_ewCqOqI,UC5LruXgf4aYGw2d78-tvqpw,null,"https://www.chriswhalewatching.com/
We offer full service guided Family Friendly Fishing & Whale Watching tours year around in the third largest deep submarine canyon in the world. Our skippers are known for their ability to find Gray whales, Killer whales, dolphins, turtles, porpoises and more!
http://www.chriswhalewatching.com
http://www.chrissfishing.com
http://www.facebook.com/chrisfishinga...
http://twitter.com/ChrisFandWW
http://pinterest.com/chrisfandww
http://instagram.com/chrisfishingandwhalewatching",1,null,[],[],null,15,0,2019-07-25T20:34:02.000Z,null,null,null,true,[],"[""Monterey"",""WHale Watching Monterey"",""Humpback WHales"",""Lunge Feeding"",""Marine Life""]",null,7.25.19 Lunge Feeding Humpback Whales,null,https://youtu.be/NIi_ewCqOqI,0,NIi_ewCqOqI,716,true
pKuR-KEOYm4,,null,"While hanging out on their boat in Knudson Cove Marina, these people were shocked to see a couple of humpback whales breach the surface near the docks to eat.
Original Link: https://www.youtube.com/watch?v=w_4hfkTgCkE

SUBSCRIBE for awesome videos every day!: http://bit.ly/JukinVideo
Want to live forever on the internet? Submit your video here: http://jukinvideo.com/Submissions

LIKE us on FACEBOOK: http://bit.ly/JukinVideoFB
FOLLOW us on TWITTER: http://bit.ly/JukinVideoTwitter
Short vids on INSTAGRAM: http://bit.ly/JukinVideoInstagram
Shorter vids on VINE:  http://bit.ly/JukinVideoVine

WHAT TO WATCH NEXT:
Hey, Dolphin: https://www.youtube.com/watch?v=mP8LYOHrPbc&index=1&list=PLz9JxPpKRG-SI-rXIJBLGA0eVz9U7BpMh
White Water Rafting Fail: https://www.youtube.com/watch?v=Ul1utuF8ndI&index=7&list=PLz9JxPpKRG-SI-rXIJBLGA0eVz9U7BpMh

JukinVideo is the leading viral video community channel dedicated to showcasing the hottest UGC videos from across the web. We love videos and find the best ones to share with you here, from fail videos to ice bucket challenges, and soccer tricks to a baby reacting to Katy Perry's Dark Horse.  The JukinVideo team scours the web 24/7 to find the latest trends and hottest videos.  Subscribe to see them first!",28,null,[],[],null,1785,0,2016-05-06T10:00:02.000Z,null,null,null,true,[],"[""jukinvideo"",""jukinvideodotcom"",""jukinmedia"",""trending"",""viral"",""viral video"",""youtube"",""hot"",""video"",""humpback whales breach"",""humpback whales breach in harbor"",""humpback whales in marina"",""humpback whales by dock"",""humpback whales"",""humpback whale"",""humpback whales breaching"",""whale"",""whales"",""whales in marina"",""alaska"",""alaska whale watching"",""whales in alaska""]",null,Humpback Whales Breach in Marina | Whale Hello,null,https://youtu.be/pKuR-KEOYm4,,pKuR-KEOYm4,142650,true
euYTbsjTJyo,,null,"Seems like these humpback whales had a lunge date! Whale watchers in Monterey Bay were treated to a whale of a show yesterday, as over a dozen dashing diners took turns launching and lunching on anchovy antipasti! 

Humpback whales are here to gorge on the bounty of the Monterey Bay’s cool waters before heading down to warmer Mexican waters to breed. Their expandable throat pouches engulf gallons upon gallons of fishy seawater, before powerful tongues push the soup through mustache-like baleen, leaving only the finest of anchovy noodles behind these built-in pasta strainers.

Fun fact: Our whales are a different population than the humpbacks in Hawai'i, which migrate to Alaska and back.

Go whale watching if you can! Late summer is a magical time of year in Monterey Bay.

____

Whale hello there! We hope you liked this video. Subscribe to our channel for more from the Monterey Bay and our mission to inspire conservation of the ocean: 
https://www.youtube.com/subscription_center?add_user=montereybayaquarium

We're on Twitter: https://twitter.com/MontereyAq
And Facebook: https://www.facebook.com/montereybayaquarium
Instagram too: https://www.instagram.com/montereybayaquarium",1,null,[],[],null,230,0,2018-07-30T23:07:25.000Z,null,null,null,true,[],"[""monterey bay aquarium"",""marine biology"",""marine science"",""humpback whale"",""whale watching"",""whale watch"",""boat"",""lunge feeding"",""lunge"",""feeding"",""jump"",""breach"",""bubble net"",""bubble netting"",""ocean"",""wildlife"",""marine mammal"",""whale megaptera novaeangliae""]",null,Humpback Whales Lunge Feeding In Monterey Bay!,null,https://youtu.be/euYTbsjTJyo,,euYTbsjTJyo,23321,true
NavthP7hxsw,,null,"After many years of travelling, it takes a lot to give you that 'wow' factor. Swimming with a mother and baby humpback, a male (not the father) follows for some action with the mother. Our captain also explained that the mother gives in to the male, just to protect her child from being crushed to death.",0,null,[],[],null,9,0,2015-10-26T07:20:24.000Z,null,null,null,true,[],"[""French Polynesia (Country)"",""Mo'orea (Island)"",""Humpback Whale (Organism Classification)"",""Snorkeling (Industry)"",""Swimming (Sport)"",""Whale (Animal)"",""Diving""]",null,"Swimming with Humpback Whales off Moorea / Tahiti, French Polynesia",null,https://youtu.be/NavthP7hxsw,,NavthP7hxsw,1952,true
6fGodmRLt2c,,null,,6,null,[],[],null,414,,2016-08-28T14:37:44.000Z,null,null,null,false,[],[],null,Humpback Whales Saving Seals,null,https://youtu.be/6fGodmRLt2c,,6fGodmRLt2c,45993,0
jL_jhgN7BBE,,null,Untamed and Uncut - Humpback Whale Swats Diver,3,null,[],[],null,24,0,2011-08-03T11:34:41.000Z,null,null,null,true,[],"[""Untamed"",""and"",""Uncut"",""Humpback"",""Whale"",""Swats"",""Diver""]",null,[TweenieZELL] Untamed&amp;Uncut-Humpback Whale Swats Diver,null,https://youtu.be/jL_jhgN7BBE,,jL_jhgN7BBE,8919,true
